#Area	Non-overlapping_group
ampl596_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl598_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl600_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl602_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl604_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl606_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl1169_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl1171_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl1173_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl1175_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl1177_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl1179_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl1181_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl1183_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl1185_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl1187_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl1189_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl558_KMT2D_CDS_34_Cds_16753904_UserDefined_(52760323)_UserDefined_(46402179)	grp0
ampl560_KMT2D_CDS_34_Cds_16753904_UserDefined_(52760323)_UserDefined_(46402179)	grp0
ampl562_KMT2D_CDS_34_Cds_16753904_UserDefined_(52760323)_UserDefined_(46402179)	grp0
ampl564_KMT2D_CDS_34_Cds_16753904_UserDefined_(52760323)_UserDefined_(46402179)	grp0
ampl566_KMT2D_CDS_34_Cds_16753904_UserDefined_(52760323)_UserDefined_(46402179)	grp0
ampl568_KMT2D_CDS_34_Cds_16753904_UserDefined_(52760323)_UserDefined_(46402179)	grp0
ampl570_KMT2D_CDS_34_Cds_16753904_UserDefined_(52760323)_UserDefined_(46402179)	grp0
ampl572_KMT2D_CDS_34_Cds_16753904_UserDefined_(52760323)_UserDefined_(46402179)	grp0
ampl574_KMT2D_CDS_34_Cds_16753904_UserDefined_(52760323)_UserDefined_(46402179)	grp0
ampl576_KMT2D_CDS_34_Cds_16753904_UserDefined_(52760323)_UserDefined_(46402179)	grp0
ampl1140_KMT2D_CDS_33_+_CDS_32_+_CDS_31_+_CDS_30_UserDefined_(53190467)_UserDefined_(51524766)	grp0
ampl1142_KMT2D_CDS_33_+_CDS_32_+_CDS_31_+_CDS_30_UserDefined_(53190467)_UserDefined_(51524766)	grp0
ampl1144_KMT2D_CDS_33_+_CDS_32_+_CDS_31_+_CDS_30_UserDefined_(53190467)_UserDefined_(51524766)	grp0
ampl1146_KMT2D_CDS_33_+_CDS_32_+_CDS_31_+_CDS_30_UserDefined_(53190467)_UserDefined_(51524766)	grp0
ampl1148_KMT2D_CDS_33_+_CDS_32_+_CDS_31_+_CDS_30_UserDefined_(53190467)_UserDefined_(51524766)	grp0
ampl1150_KMT2D_CDS_33_+_CDS_32_+_CDS_31_+_CDS_30_UserDefined_(53190467)_UserDefined_(51524766)	grp0
ampl1152_KMT2D_CDS_33_+_CDS_32_+_CDS_31_+_CDS_30_UserDefined_(53190467)_UserDefined_(51524766)	grp0
ampl1154_KMT2D_CDS_33_+_CDS_32_+_CDS_31_+_CDS_30_UserDefined_(53190467)_UserDefined_(51524766)	grp0
ampl1156_KMT2D_CDS_33_+_CDS_32_+_CDS_31_+_CDS_30_UserDefined_(53190467)_UserDefined_(51524766)	grp0
ampl1158_KMT2D_CDS_33_+_CDS_32_+_CDS_31_+_CDS_30_UserDefined_(53190467)_UserDefined_(51524766)	grp0
ampl1160_KMT2D_CDS_33_+_CDS_32_+_CDS_31_+_CDS_30_UserDefined_(53190467)_UserDefined_(51524766)	grp0
ampl1162_KMT2D_CDS_33_+_CDS_32_+_CDS_31_+_CDS_30_UserDefined_(53190467)_UserDefined_(51524766)	grp0
ampl1164_KMT2D_CDS_33_+_CDS_32_+_CDS_31_+_CDS_30_UserDefined_(53190467)_UserDefined_(51524766)	grp0
ampl1166_KMT2D_CDS_33_+_CDS_32_+_CDS_31_+_CDS_30_UserDefined_(53190467)_UserDefined_(51524766)	grp0
ampl1134_KMT2D_CDS_29_+_KMT2D_CDS_28_UserDefined_(53190466)_UserDefined_(51524767)	grp0
ampl1136_KMT2D_CDS_29_+_KMT2D_CDS_28_UserDefined_(53190466)_UserDefined_(51524767)	grp0
ampl1138_KMT2D_CDS_29_+_KMT2D_CDS_28_UserDefined_(53190466)_UserDefined_(51524767)	grp0
ampl1125_KMT2D_CDS_27_+_CDS_26_+_CDS_25_+_CDS_24_UserDefined_(53190465)_UserDefined_(51524768)	grp0
ampl1127_KMT2D_CDS_27_+_CDS_26_+_CDS_25_+_CDS_24_UserDefined_(53190465)_UserDefined_(51524768)	grp0
ampl1129_KMT2D_CDS_27_+_CDS_26_+_CDS_25_+_CDS_24_UserDefined_(53190465)_UserDefined_(51524768)	grp0
ampl1131_KMT2D_CDS_27_+_CDS_26_+_CDS_25_+_CDS_24_UserDefined_(53190465)_UserDefined_(51524768)	grp0
ampl1133_KMT2D_CDS_27_+_CDS_26_+_CDS_25_+_CDS_24_UserDefined_(53190465)_UserDefined_(51524768)	grp0
